product_id,category,subcategory,product_launch_date,unit_orig_price
P0001,Electronics,Phone,2022-11-10,699.0
P0002,Electronics,Laptop,2020-11-26,999.0
P0003,Electronics,Tablet,2022-05-21,399.0
P0004,Clothing,Shirt,2022-02-08,25.0
P0005,Clothing,Pants,2022-03-16,40.0
P0006,Clothing,Dress,2020-10-03,60.0
P0007,Furniture,Chair,2020-01-22,85.0
P0008,Furniture,Table,2021-04-19,150.0
P0009,Furniture,Sofa,2021-11-30,800.0
P0010,Toys,Action Figure,2022-08-15,20.0
P0011,Toys,Board Game,2022-04-11,35.0
P0012,Toys,Puzzle,2021-10-08,15.0
P0013,Groceries,Cereal,2021-01-22,5.0
P0014,Groceries,Milk,2020-08-29,3.0
P0015,Groceries,Bread,2021-07-18,2.5
P0016,Sports,Basketball,2022-08-13,30.0
P0017,Sports,Soccer Ball,2022-02-14,28.0
P0018,Sports,Tennis Racket,2022-10-22,120.0
P0019,Books,Fiction,2021-12-03,12.0
P0020,Books,Non-Fiction,2020-06-10,18.0
