prod_code,item_category,item_subcategory,brand_name,item_weight,launch_date,orig_price
P0001,Electronics,Phone,LG,39.85,2022-11-10,699.0
P0002,Electronics,Laptop,LG,22.35,2020-11-26,999.0
P0003,Electronics,Tablet,LG,43.32,2022-05-21,399.0
P0004,Clothing,Shirt,Zara,32.58,2022-02-08,25.0
P0005,Clothing,Pants,Zara,41.64,2022-03-16,40.0
P0006,Clothing,Dress,Adidas,9.17,2020-10-03,60.0
P0007,Furniture,Chair,IKEA,15.28,2020-01-22,85.0
P0008,Furniture,Table,IKEA,21.65,2021-04-19,150.0
P0009,Furniture,Sofa,Wayfair,20.05,2021-11-30,800.0
P0010,Toys,Action Figure,Fisher-Price,11.72,2022-08-15,20.0
P0011,Toys,Board Game,Hasbro,30.96,2022-04-11,35.0
P0012,Toys,Puzzle,Lego,2.42,2021-10-08,15.0
P0013,Groceries,Cereal,Nestle,22.58,2021-01-22,5.0
P0014,Groceries,Milk,Nestle,48.29,2020-08-29,3.0
P0015,Groceries,Bread,Kelloggs,15.3,2021-07-18,2.5
P0016,Sports,Basketball,Adidas,34.24,2022-08-13,30.0
P0017,Sports,Soccer Ball,Wilson,30.54,2022-02-14,28.0
P0018,Sports,Tennis Racket,Wilson,8.75,2022-10-22,120.0
P0019,Books,Fiction,HarperCollins,26.05,2021-12-03,12.0
P0020,Books,Non-Fiction,HarperCollins,38.78,2020-06-10,18.0
P0021,Books,Textbook,HarperCollins,44.75,2020-09-26,90.0
P0022,Home,Vacuum,Black & Decker,46.1,2021-03-31,200.0
P0023,Home,Blender,KitchenAid,9.88,2022-10-13,70.0
P0024,Home,Microwave,KitchenAid,16.33,2021-12-20,120.0
P0025,Beauty,Lipstick,Loreal,13.64,2022-12-12,18.0
P0026,Beauty,Foundation,CoverGirl,17.9,2022-02-02,25.0
P0027,Beauty,Shampoo,CoverGirl,27.18,2022-11-30,10.0
P0028,Health,Vitamins,Johnson & Johnson,40.13,2020-03-05,22.0
P0029,Health,Pain Relief,Johnson & Johnson,49.35,2021-10-09,12.0
P0030,Health,First Aid,Band-Aid,0.8,2021-08-15,15.0
